entity,field_id,field_name,field_type,field_code,enum_count,filled_count,fill_rate_pct,sample_values,decision,decision_reason
leads,1908215,Арендует до,date,,0,2,0,1798657200 | 1820430000,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
leads,1908821,Сумма предоплаты,monetary,,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1908823,Сумма постоплаты,monetary,,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1908825,Дата предоплаты,date,,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1908827,Дата постоплаты,date,,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1908829,Провели показ,date,,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1908831,Назначили показ,date_time,,0,0,0,,IGNORE,поле не заполнено ни в одной записи
contacts,1245567,Должность,text,POSITION,0,1,0,сотрудник,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
contacts,1245569,Телефон,multitext,PHONE,6,6964,48.9,934760334 | +998910061116 | +998901742010,MAP,узнаваемый бизнес-атрибут — кандидат на маппинг в DMS
contacts,1245571,Email,multitext,EMAIL,3,42,0.3,@disorochinskaya | info@rooftophall.uz | Гайрат,MAP,узнаваемый бизнес-атрибут — кандидат на маппинг в DMS
contacts,1255353,Дата рождения,date,,0,1,0,1754506800,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
contacts,1255355,Пол,select,,2,8,0.1,Женский | Мужской,KEEP_RAW,enum-поле — сохранить справочник значений как есть
contacts,1793743,Umnico socialId,text,SOCIAL_ID,0,167,1.2,user_1967264 | user_8173848326 | user_8716272792,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
contacts,1793745,Umnico customerID,text,UCID,0,167,1.2,70403604 | 70403603 | 70403605,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
contacts,1793747,Аватар,text,AVATAR,0,4,0,https://storage.googleapis.com/download/,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
contacts,1793749,Профиль,url,UMNICO_PROFILE,0,163,1.1,https://t.me/Sense48 | https://t.me/ISMOILIY_0099 | https://t.me/angelina98898,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
contacts,1793751,Адрес клиента,text,ADDRESS,0,0,0,,IGNORE,поле не заполнено ни в одной записи
contacts,1793753,Логин,text,LOGIN,0,164,1.2,Sense48 | ISMOILIY_0099 | angelina98898,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
contacts,1907429,Телефон 2,text,,0,184,1.3,947101710 | 935340010 | 909994400,MAP,узнаваемый бизнес-атрибут — кандидат на маппинг в DMS
companies,1245569,Телефон,multitext,PHONE,6,446,96.5,+998946713435 | +998930635681 | +998903080953,MAP,узнаваемый бизнес-атрибут — кандидат на маппинг в DMS
companies,1245571,Email,multitext,EMAIL,3,0,0,,IGNORE,поле не заполнено ни в одной записи
companies,1245573,Web,url,WEB,0,1,0.2,https://www.instagram.com/yulduz.event/,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
companies,1245575,Адрес,textarea,ADDRESS,0,0,0,,IGNORE,поле не заполнено ни в одной записи
companies,1245673,Сфера деятельности,text,,0,1,0.2,Организаторы мероприятий,MAP,узнаваемый бизнес-атрибут — кандидат на маппинг в DMS
